status,temperature,latitude,longitude,is_weekend,hour
1.5158072,23,39.919614,116.451179,0,18.06112
1.1054659,23,39.919614,116.451179,0,8.25557
1.0693109,23,39.919614,116.451179,0,7.39891
1.0003594,23,39.919614,116.451179,0,3.34633
1.1195667,23,39.919614,116.451179,0,8.57703
0.99829996,23,39.919614,116.451179,0,0.81053
0.99916565,23,39.919614,116.451179,1,24.12366
1.4610585,23,39.919614,116.451179,1,15.76733
0.99849534,23,39.919614,116.451179,0,-0.16747
1.0034754,23,39.919614,116.451179,0,4.51751
1.0004934,23,39.919614,116.451179,0,3.50169
1.0997018,23,39.919614,116.451179,1,6.96042
1.1269279,23,39.919614,116.451179,0,8.73417
1.167844,23,39.919614,116.451179,0,10.75185
1.2188796,23,39.919614,116.451179,1,9.77288
1.1174046,23,39.919614,116.451179,0,19.64469
1.162876,23,39.919614,116.451179,0,11.35613
1.2826202,23,39.919614,116.451179,1,11.70259
1.0008949,23,39.919614,116.451179,0,3.97268
1.1652774,23,39.919614,116.451179,0,13.71298
1.0916184,23,39.919614,116.451179,1,6.79229
1.0008752,23,39.919614,116.451179,0,3.95648
1.1603035,23,39.919614,116.451179,0,13.42178
1.2464849,23,39.919614,116.451179,1,19.21118
1.5580094,23,39.919614,116.451179,0,17.83331
1.1112822,23,39.919614,116.451179,1,20.87651
1.0120178,23,39.919614,116.451179,1,2.95104
1.0016328,23,39.919614,116.451179,1,24.01964
1.1701963,23,39.919614,116.451179,0,10.39995
0.9840418,23,39.919614,116.451179,0,23.39917
1.0554315,23,39.919614,116.451179,0,7.07401
1.1533068,23,39.919614,116.451179,1,8.0466
0.99182177,23,39.919614,116.451179,0,22.73552
1.043501,23,39.919614,116.451179,0,21.04071
1.3630799,23,39.919614,116.451179,1,13.2165
1.0597092,23,39.919614,116.451179,1,21.9111
1.0803275,23,39.919614,116.451179,0,7.65666
1.1667007,23,39.919614,116.451179,1,8.36106
0.9982333,23,39.919614,116.451179,0,0.67309
1.0269239,23,39.919614,116.451179,0,6.29684
0.99858654,23,39.919614,116.451179,0,1.40186
1.087996,23,39.919614,116.451179,0,20.04318
