status,temperature,is_weekend,hour
1.04167,10.0,0,22
1.0,10.0,0,22
1.0,10.0,0,22
1.04167,10.0,0,22
1.0,9.0,0,22
1.0,9.0,0,22
1.04167,9.0,0,22
1.0,9.0,0,23
1.0,9.0,0,23
1.0,9.0,0,23
1.0,9.0,0,23
1.04167,13.0,0,12
1.13333,12.0,0,12
1.36842,12.0,0,12
1.0,12.0,0,12
1.0,13.0,0,12
1.10526,13.0,0,12
1.2381,27.0,0,12
1.3,27.0,0,12
1.18182,27.0,0,12
1.11111,13.0,0,12
1.2,12.0,0,12
1.03333,12.0,0,12
1.08333,13.0,0,12
1.0,13.0,0,12
1.05882,12.0,0,12
1.22727,27.0,0,12
1.0,27.0,0,12
1.5,27.0,0,12
1.08333,13.0,0,12
1.05882,12.0,0,12
1.0,13.0,0,12
1.0,13.0,0,12
1.20833,12.0,0,12
1.1875,12.0,0,12
1.0,12.0,0,12
1.0,27.0,0,12
1.27273,27.0,0,12
1.1,27.0,0,12
1.0,14.0,0,13
1.125,14.0,0,13
1.35,14.0,0,13
1.03333,15.0,0,13
1.25,15.0,0,13
1.0,30.0,0,13
1.04762,30.0,0,13
1.05882,15.0,0,13
1.0,30.0,0,13
1.08333,14.0,0,13
1.75,14.0,0,13
1.58824,15.0,0,13
1.0,14.0,0,13
1.0,30.0,0,13
1.04762,30.0,0,13
1.0,15.0,0,13
1.06667,15.0,0,13
1.3,30.0,0,13
1.0,14.0,0,13
1.0,14.0,0,13
1.06667,15.0,0,13
1.0,14.0,0,13
1.64706,15.0,0,13
1.6,30.0,0,13
